,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category
0,Marble Hill,40.87655078,-73.91065966,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
1,Marble Hill,40.87655078,-73.91065966,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
2,Marble Hill,40.87655078,-73.91065966,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
3,Marble Hill,40.87655078,-73.91065966,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
4,Marble Hill,40.87655078,-73.91065966,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
5,Marble Hill,40.87655078,-73.91065966,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
6,Marble Hill,40.87655078,-73.91065966,Astral Fitness & Wellness Center,40.87670526507199,-73.90637207670373,Gym
7,Marble Hill,40.87655078,-73.91065966,Blink Fitness,40.877271495944626,-73.90559491338075,Gym
8,Marble Hill,40.87655078,-73.91065966,Starbucks,40.873754554218515,-73.90861305343668,Coffee Shop
9,Marble Hill,40.87655078,-73.91065966,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium
10,Marble Hill,40.87655078,-73.91065966,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
11,Marble Hill,40.87655078,-73.91065966,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop
12,Marble Hill,40.87655078,-73.91065966,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
13,Marble Hill,40.87655078,-73.91065966,Subway,40.87483215332031,-73.90995025634766,Sandwich Place
14,Marble Hill,40.87655078,-73.91065966,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
15,Marble Hill,40.87655078,-73.91065966,Subway Sandwiches,40.8746665302951,-73.9095858429637,Sandwich Place
16,Marble Hill,40.87655078,-73.91065966,Baskin-Robbins,40.87714929478882,-73.90665810372622,Ice Cream Shop
17,Marble Hill,40.87655078,-73.91065966,Boston Market,40.87743,-73.9054121,American Restaurant
18,Marble Hill,40.87655078,-73.91065966,GameStop,40.874266802124836,-73.90934218062803,Video Game Store
19,Marble Hill,40.87655078,-73.91065966,Five Below,40.8772564,-73.9049384,Miscellaneous Shop
20,Marble Hill,40.87655078,-73.91065966,Subway,40.878464979323944,-73.9055176422437,Sandwich Place
21,Marble Hill,40.87655078,-73.91065966,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
22,Marble Hill,40.87655078,-73.91065966,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store
23,Marble Hill,40.87655078,-73.91065966,Terrace View Delicatessen,40.875995,-73.913151,Deli / Bodega
24,Chinatown,40.71561842,-73.99427936,Cheeky Sandwiches,40.715821,-73.99183,Sandwich Place
25,Chinatown,40.71561842,-73.99427936,Hotel 50 Bowery NYC,40.7159364,-73.9967894,Hotel
26,Chinatown,40.71561842,-73.99427936,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place
27,Chinatown,40.71561842,-73.99427936,Kiki's,40.714476082876864,-73.99203609673215,Greek Restaurant
28,Chinatown,40.71561842,-73.99427936,Spicy Village,40.71701,-73.99353,Chinese Restaurant
29,Chinatown,40.71561842,-73.99427936,Bar Belly,40.71513492837161,-73.99180174375184,Cocktail Bar
30,Chinatown,40.71561842,-73.99427936,The Fat Radish,40.715322528335335,-73.99194951476356,English Restaurant
31,Chinatown,40.71561842,-73.99427936,Regina's Grocery,40.71545271972335,-73.99162066038105,Sandwich Place
32,Chinatown,40.71561842,-73.99427936,Museum at Eldridge Street,40.714724,-73.993497,Museum
33,Chinatown,40.71561842,-73.99427936,Michaeli Bakery,40.71470398399014,-73.99184703826903,Bakery
34,Chinatown,40.71561842,-73.99427936,Wah Fung Number 1 Fast Food 華豐快飯店,40.71727831655619,-73.99417731304892,Chinese Restaurant
35,Chinatown,40.71561842,-73.99427936,Renew Day Spa,40.715559,-73.996747,Spa
36,Chinatown,40.71561842,-73.99427936,Da Yu Hot Pot 大渝火锅,40.716735,-73.995752,Hotpot Restaurant
37,Chinatown,40.71561842,-73.99427936,Off The Bridge,40.715622403162904,-73.99423665033953,Bike Shop
38,Chinatown,40.71561842,-73.99427936,Yaya Tea Garden,40.71617656047733,-73.99490199219241,Tea Room
39,Chinatown,40.71561842,-73.99427936,Super Taste (百味蘭州拉面) (Super Taste),40.71519757566773,-73.99351118851398,Noodle House
40,Chinatown,40.71561842,-73.99427936,Forgtmenot,40.714458761321595,-73.9915463794752,New American Restaurant
41,Chinatown,40.71561842,-73.99427936,Xi'an Famous Foods,40.715231941715004,-73.99726288220869,Chinese Restaurant
42,Chinatown,40.71561842,-73.99427936,Metrograph,40.714998539086416,-73.99103539533131,Indie Movie Theater
43,Chinatown,40.71561842,-73.99427936,Teado,40.71718422928588,-73.9948832988739,Bubble Tea Shop
44,Chinatown,40.71561842,-73.99427936,Fong On,40.714165,-73.9937,Dessert Shop
45,Chinatown,40.71561842,-73.99427936,Ling Kee,40.714713,-73.991538,Asian Restaurant
46,Chinatown,40.71561842,-73.99427936,GoGreen Organic Spa,40.717014,-73.995847,Spa
47,Chinatown,40.71561842,-73.99427936,Chinatown Soup,40.71518422476716,-73.99171537302827,Historic Site
48,Chinatown,40.71561842,-73.99427936,Cervo's,40.714762540056384,-73.99145547895715,Spanish Restaurant
49,Chinatown,40.71561842,-73.99427936,Sky Ting Yoga,40.715352,-73.992666,Yoga Studio
50,Chinatown,40.71561842,-73.99427936,"Happy Lamb Hot Pot, Manhattan",40.717638978068614,-73.99518735688363,Hotpot Restaurant
51,Chinatown,40.71561842,-73.99427936,Dimes,40.71483045349728,-73.99171854350031,American Restaurant
52,Chinatown,40.71561842,-73.99427936,WOON,40.71608055070792,-73.99168134841135,Salon / Barbershop
53,Chinatown,40.71561842,-73.99427936,Chop Suey Club,40.716192,-73.991359,Boutique
54,Chinatown,40.71561842,-73.99427936,Sam's Fried Ice Cream,40.715814082261154,-73.99145645060749,Ice Cream Shop
55,Chinatown,40.71561842,-73.99427936,The Crown,40.7159596120117,-73.99671727688867,Roof Deck
56,Chinatown,40.71561842,-73.99427936,Panda Cafe,40.71703265308132,-73.99458186646433,Bubble Tea Shop
57,Chinatown,40.71561842,-73.99427936,La Petite Mort,40.715906,-73.991515,Boutique
58,Chinatown,40.71561842,-73.99427936,Mian Tian Sing Hair Salon,40.716630177497784,-73.99732784630237,Salon / Barbershop
59,Chinatown,40.71561842,-73.99427936,Wayla,40.7182908437571,-73.99258397519588,Thai Restaurant
60,Chinatown,40.71561842,-73.99427936,The Sill,40.716244858728366,-73.99202728744017,Garden Center
61,Chinatown,40.71561842,-73.99427936,Coming Soon,40.715737982481315,-73.99144123696131,Furniture / Home Store
62,Chinatown,40.71561842,-73.99427936,Grand Seoul,40.71744683908609,-73.99425648068716,Korean Restaurant
63,Chinatown,40.71561842,-73.99427936,Lan Zhou Handmade Noodle & Dumpling,40.71554266411927,-73.99674213744805,Noodle House
64,Chinatown,40.71561842,-73.99427936,The Original Chinatown Ice Cream Factory,40.71552144597581,-73.99814520882326,Ice Cream Shop
65,Chinatown,40.71561842,-73.99427936,Sofar HQ,40.71352253397576,-73.99628875186677,Music Venue
66,Chinatown,40.71561842,-73.99427936,New Malaysia,40.71578686130709,-73.9969050590344,Malay Restaurant
67,Chinatown,40.71561842,-73.99427936,oo35mm.com,40.716604729318206,-73.99789000508754,Cosmetics Shop
68,Chinatown,40.71561842,-73.99427936,Winnie’s Bar,40.71365422614806,-73.99519249882738,Karaoke Bar
69,Chinatown,40.71561842,-73.99427936,Kiki’s Grill & Rotisserie,40.714303,-73.991796,Greek Restaurant
70,Chinatown,40.71561842,-73.99427936,Nam Son Vietnamese Restaurant,40.718214526047454,-73.99434463491643,Vietnamese Restaurant
71,Chinatown,40.71561842,-73.99427936,Simple,40.71814514203096,-73.99198775758143,Asian Restaurant
72,Chinatown,40.71561842,-73.99427936,l'estudio,40.71571997526929,-73.99033245121464,American Restaurant
73,Chinatown,40.71561842,-73.99427936,Great N.Y. Noodletown,40.715039001656855,-73.99694075378208,Chinese Restaurant
74,Chinatown,40.71561842,-73.99427936,Hong Kong Supermarket 香港超級市場 (Hong Kong Supermarket),40.717595732385966,-73.99617253722293,Supermarket
75,Chinatown,40.71561842,-73.99427936,Dimes Deli,40.71459195873029,-73.99081729031317,Organic Grocery
76,Chinatown,40.71561842,-73.99427936,Phở Grand,40.71782396789147,-73.99280072371246,Vietnamese Restaurant
77,Chinatown,40.71561842,-73.99427936,Little Canal,40.714317,-73.990361,Coffee Shop
78,Chinatown,40.71561842,-73.99427936,The Commissary,40.715004192130635,-73.99100963130398,American Restaurant
79,Chinatown,40.71561842,-73.99427936,99 Favor Taste 99號餐廳,40.71756,-73.99258,Hotpot Restaurant
80,Chinatown,40.71561842,-73.99427936,Golden Diner,40.71245135327847,-73.99421274662018,Diner
81,Chinatown,40.71561842,-73.99427936,Malaysia Beef Jerky,40.71852709684469,-73.99582403497948,Snack Place
82,Chinatown,40.71561842,-73.99427936,Factory Tamal,40.71587612490716,-73.99046733643608,Mexican Restaurant
83,Chinatown,40.71561842,-73.99427936,Joy's Flowers & Gifts,40.71560293093889,-73.9899371418026,Gift Shop
84,Chinatown,40.71561842,-73.99427936,Yi Ji Shi Mo Noodle Corp,40.7182541242483,-73.99593030303214,Chinese Restaurant
